"","player_name","new_club","price_pounds","new_league"
"475","Ferland Mendy","Lyon","4400000","Ligue 1"
"476","Mariano Díaz","Lyon","7016095","Ligue 1"
"477","Prince Gouano","Amiens"," ","Ligue 1"
"478","Madih Talal","Amiens"," ","Ligue 1"
"479","Brice Samba","Caen"," ","Ligue 1"
"480","Joris Kayembe","Nantes"," ","Ligue 1"
"481","Corentin Jean","Monaco"," ","Ligue 1"
"482","Corentin Jean","Toulouse","3500000","Ligue 1"
"483","Terence Kongolo","Monaco","11400000","Ligue 1"
"484","Baïssama Sankoh","Caen"," ","Ligue 1"
"485","Luiz Gustavo","Marseille","7000000","Ligue 1"
"486","François Bellugou","Troyes"," ","Ligue 1"
"487","Wilfired Kanga","Angers"," ","Ligue 1"
"488","Chidozie Awaziem","Nantes"," ","Ligue 1"
"489","Marcus Thuram","Guingamp"," ","Ligue 1"
"490","Angelo Fulgini","Angers","1230000","Ligue 1"
"491","Lassana Coulibaly","Angers","3500000","Ligue 1"
"492","Florian Thauvin","Marseille","9000000","Ligue 1"
"493","Jonathan Ikoné","Montpellier"," ","Ligue 1"
"494","Saidy Janko","Saint-Etienne"," ","Ligue 1"
"495","Yuri Berchiche","Paris Saint-Germain","13200000","Ligue 1"
"496","Loïs Diony","Saint-Etienne","4250000","Ligue 1"
"497","Kévin Malcuit","Lille","7100000","Ligue 1"
"498","Wesley Lautoa","Dijon","1300000","Ligue 1"
"499","Wesley Saïd","Dijon","1330000","Ligue 1"
